NP Entry ID,Study ID,Title,NP without modification,Surface modification,SizeDLS,Zeta potential,Incubation protein source,Incubation plasma concentration,Incubation NP concentration,Centrifugation speed,Centrifugation time,Certrifugation temperature,NP type,NP shape,Dispersion medium,PDI,Incubation culture,Incubation time,Incubation temperature,Centrifugation repetitions,ALB,C3,APOA2
A001,A01,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEG,119,8,HP,80,822.2696,20000,60,25,other,sphere,water,0.25,water,1,37,1,28.29049204,0.328085847,0
A002,A01,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEG,117,14,HP,80,836.3325,20000,60,25,other,sphere,water,0.25,water,1,37,1,2.68822952,0.89996404,0.397014374
A003,A01,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,NH2,106,46,HP,80,923.114,20000,60,25,other,sphere,water,0.25,water,1,37,1,0.428409312,0.99917407,0.053047548
A004,A01,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEEP,122,-10,HP,80,802.0499,20000,60,25,other,sphere,water,0.25,water,1,37,1,0.088385024,0.372115239,0.264338582
A005,A01,Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEEP,117,-9,HP,80,836.3255,20000,60,25,other,sphere,water,0.25,water,1,37,1,0.079498791,0.349449972,0.376595901
A006,A02,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM70,N/A,114,29.8,HS,50,500,14000,15,3,liposome,sphere,plasma,0.21,water,1,37,1,2.64,2.37,2.7
A007,A02,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM105,N/A,149,31.7,HS,50,500,14000,15,3,liposome,sphere,plasma,0.41,water,1,37,1,5.7,1.63,1.92
A008,A02,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM105,pDNA,191,-16.3,HS,50,500,14000,15,3,liposome,sphere,plasma,0.64,water,1,37,1,4.89,1.57,3.5
A009,A02,Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM70,pDNA,153,-17.4,HS,50,500,14000,15,3,liposome,sphere,plasma,0.34,water,1,37,1,3.37,3.84,1.42
A010,A03,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,73.7,-43.5,HP,10,40,250,3,25,other,sphere,PBS,0.06,buffer,1,25,1,4.8598362,0.3799306,0
A011,A03,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,73.7,-43.5,HP,25,40,250,3,25,other,sphere,PBS,0.06,buffer,1,25,1,0.89,0.27,0
A012,A03,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,73.7,-43.5,HP,55,40,250,3,25,other,sphere,PBS,0.06,buffer,1,25,1,1.0960737,0.1489602,0
A013,A03,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,73.7,-43.5,HP,75,40,250,3,25,other,sphere,PBS,0.06,buffer,1,25,1,1.2,0.44,0
A014,A03,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,116.3,-53.2,HP,10,5,250,3,25,other,sphere,PBS,0.05,buffer,1,25,1,1.13,0,0
A015,A03,Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,OSO3,130,-61.2,HP,10,1,250,3,25,other,sphere,PBS,0.09,buffer,1,25,1,6.04,0.03,0
A016,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,12,-35,HP,10,100,10000,20,25,other,sheet,water,0.126944444,water,1,25,5,7.29,2.85,0
A017,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,12,-35,HP,10,100,10000,20,25,other,sheet,water,0.126944444,water,1,25,5,2.73,1.32,0
A018,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,12,-35,HP,10,100,10000,20,25,other,sheet,water,0.126944444,water,1,25,5,2.01,1.06,0
A019,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,10,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,4.21,2.43,4.18
A020,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,10,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,3.21,2.31,4.69
A021,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,10,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,4.16,1.89,4.7
A022,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,10,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,3.73,2.76,0
A023,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,12,-35,HP,100,100,10000,20,25,other,sheet,water,0.126944444,water,1,25,5,7.93,8.82,0
A024,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,12,-35,HP,100,100,10000,20,25,other,sheet,water,0.126944444,water,1,25,5,0,4.2,0
A025,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,12,-35,HP,100,100,10000,20,25,other,sheet,water,0.126944444,water,1,25,5,0,2.42,20.24
A026,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,12,-35,HP,100,100,10000,20,25,other,sheet,water,0.126944444,water,1,25,5,0,2.86,23.95
A027,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,100,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,4.807,2.227,0
A028,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,100,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,4.572,4.519,0
A029,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,100,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,3.165,6.452,9.823
A030,A04,Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,N/A,13,-35,HP,100,100,10000,20,25,other,sphere,water,0.126944444,water,1,25,5,4.068,5.026,8.417
A031,A05,Differential analysis of "protein corona" profile adsorbed onto different nonviral gene delivery systems,LPD,N/A,200,45,HP,50,500,15000,10,25,liposome,sphere,water,0.126944444,water,1,37,1,2.888266721,5.202766478,3.557785245
