Publication_year,NPmaterials,NPshape,Coated,Charge,Pegylation,Uptakepathway,Toxicity,Immuneresponse,Otherbiologicaleffect,PCmethods,Incubationcondition,PCprotein
2015,Micelles,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Stability,Fluorescence,Serum,Albumin
2018,Lipoplexes,Nanotubes,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Antipeg,Proteomics,Serum,Lipoprotein
2015,Others,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Serum,Albumin
2018,Peptide,Spherical,Unknown,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Lipoprotein
2016,Magnetic,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Biodistribution,Spectrum,Medium,Transferrin
2021,Lipoplexes,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Release,Fluorescence,Plasma,Lipoprotein
2016,Gold,Others,Coated,Negative charge,Pegylated,Unknown,Unknown,Macrophages,Biodistribution,Spectrum,Serum,Albumin
2017,Others,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Therapy,Spectrum,Serum,Fibrinogen
2019,Micelles,Nanorods,Coated,Positive charge,Pegylated,Unknown,Unknown,Macrophages,Release,Fluorescence,Serum,Albumin
2022,Others,Spherical,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Immune response,Targeting,Fluorescence,Serum,Albumin
2018,Peptide,Spherical,Uncoated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Proteomics,Serum,Lipoprotein
2021,Micelles,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Biodistribution,Fluorescence,Medium,Albumin
2018,Agglomerates,Nanosheets,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Stability,Icpms,Medium,Lipoprotein
2017,Others,Nanostars,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Medium,Others
2023,Agglomerates,Nanosheets,Unknown,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Release,Microscope,Serum,Others
2014,Quantum,Nanorods,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Spectrum,Serum,Albumin
2014,Micelles,Nanorods,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Microscope,Medium,Others
2017,Micelles,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Anticancer,Microscope,Serum,Albumin
2017,Others,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Targeting,Sdspage,Serum,Lipoprotein
2021,Agglomerates,Others,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Others,Biodistribution,Fluorescence,Plasma,Albumin
2023,Magnetic,Nanosheets,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Lipoprotein
2024,Others,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Spectrum,Serum,Lipoprotein
2014,Lipoplexes,Others,Coated,Positive charge,Pegylated,Phagocytosis,Unknown,Macrophages,Anticancer,Sdspage,Plasma,Albumin
2014,Lipoplexes,Others,Unknown,Unknown,Pegylated,Unknown,Unknown,Complement,Release,Sdspage,Serum,Transferrin
2018,Magnetic,Amorphous,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Immune response,Targeting,Sdspage,Serum,Fibrinogen
2023,Others,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Unknown,Macrophages,Antipeg,Fluorescence,Plasma,Others
2018,Micelles,Others,Coated,Unknown,Pegylated,Phagocytosis,Unknown,Macrophages,Biodistribution,Fluorescence,Plasma,Lipoprotein
2019,Micelles,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Proteomics,Serum,Lipoprotein
2021,Others,Spherical,Coated,Positive charge,Pegylated,Phagocytosis,Unknown,Macrophages,Biodistribution,Spectrum,Serum,Albumin
